Filename,Touches
app/src/main/java/com/scottyab/rootbeer/sample/CheckForRootWorker.kt,5
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeerNative.java,10
rootbeerlib/src/main/AndroidManifest.xml,4
rootbeerlib/src/main/cpp/toolChecker.cpp,1
rootbeerlib/src/main/cpp/toolChecker.h,1
app/src/main/res/mipmap-anydpi-v26/ic_launcher.xml,1
app/src/main/res/mipmap-anydpi-v26/ic_launcher_round.xml,1
app/src/main/res/values/ic_launcher_background.xml,1
.circleci/config.yml,7
app/src/main/AndroidManifest.xml,10
app/src/main/java/com/scottyab/rootbeer/sample/CheckRootTask.java,11
app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.java,14
app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.kt,1
app/src/main/java/com/scottyab/rootbeer/sample/RootItemResult.kt,1
app/src/main/java/com/scottyab/rootbeer/sample/RootSampleApp.kt,1
app/src/main/java/com/scottyab/rootbeer/sample/TextViewFont.java,7
app/src/main/java/com/scottyab/rootbeer/sample/extensions/ViewExtensions.kt,1
app/src/main/java/com/scottyab/rootbeer/sample/ui/ResultIconView.kt,1
app/src/main/java/com/scottyab/rootbeer/sample/ui/RootItemAdapter.kt,1
app/src/main/java/com/scottyab/rootbeer/sample/ui/RootedResultTextView.kt,1
app/src/main/java/com/scottyab/rootbeer/sample/ui/ScopedActivity.kt,1
app/src/main/res/drawable/ic_check_circle_green_24dp.xml,1
app/src/main/res/drawable/ic_error_circle_outline_red_24dp.xml,1
app/src/main/res/drawable/ic_info_outline_white_24dp.xml,1
app/src/main/res/drawable/ic_lock_open_white_24dp.xml,1
app/src/main/res/layout/activity_main.xml,15
app/src/main/res/layout/content_main.xml,6
app/src/main/res/layout/item_root_check.xml,1
app/src/main/res/menu/menu_main.xml,4
app/src/main/res/values-w820dp/dimens.xml,3
app/src/main/res/values/attrs.xml,4
app/src/main/res/values/dimens.xml,3
app/src/main/res/values/strings.xml,7
rootbeerlib/src/main/java/com/scottyab/rootbeer/Const.java,24
rootbeerlib/src/main/java/com/scottyab/rootbeer/util/Utils.java,5
rootbeerlib/src/test/java/com/scottyab/rootbeer/RootBeerTest.java,13
rootbeerlib/src/main/res/values/strings.xml,2
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,53
rootbeerlib/src/main/java/com/scottyab/rootbeer/util/QLog.java,12
app/src/androidTest/java/com/scottyab/rootbeer/ApplicationTest.java,6
app/src/main/res/values/styles.xml,4
rootbeerlib/src/androidTest/java/com/scottyab/rootbeer/ApplicationTest.java,6
rootbeerlib/src/main/jni/toolChecker.cpp,5
rootbeerlib/src/main/jni/toolChecker.h,4
rootbeerlib/jni/build.sh,8
rootbeerlib/jni/toolChecker.cpp,9
app/src/main/res/values/colors.xml,3
.idea/compiler.xml,2
.idea/copyright/profiles_settings.xml,2
.idea/gradle.xml,4
.idea/misc.xml,5
.idea/modules.xml,3
.idea/runConfigurations.xml,3
.idea/vcs.xml,2
rootbeerlib/jni/toolChecker.h,6
app/src/main/java/com/scottyab/rootchecker/RootCheck.java,6
app/src/main/java/com/scottyab/rootchecker/Const.java,1
app/src/main/java/com/scottyab/rootchecker/MainActivity.java,4
app/jni/build.sh,3
app/jni/toolChecker.cpp,2
app/jni/toolChecker.h,2
app/src/main/java/com/scottyab/rootchecker/RootCheckNative.java,3
app/jni/rootChecker.cpp,1
app/jni/rootChecker.h,1
app/src/androidTest/java/com/scottyab/rootchecker/ApplicationTest.java,1
app/src/main/java/com/scottyab/rootchecker/util/QLog.java,1
